material  lattice_constant  bul_modulus  band_gap  rS_A rP_A rS_B rP_B Z_A Z_B HOMO_A LUMO_A EA_A IP_A HOMO_B LUMO_B EA_B IP_B c_A 
RbRhO3  3.93410988  0.833864125301  0.00512751  2.39300 3.29810 1.51700 2.24450 37 45 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.324078823778 -2.720936056224 -0.649048902331 9.152288883026 1.00
RbPdO3  4.01218596  0.829874717936  0.01826200  2.39300 3.29810 1.48560 2.29200 37 46 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -5.018246293882 -2.610572297189 -0.200021161260 10.166984187162 1.00
RbAgO3  4.11156460  0.566327068067  0.01096117  2.39300 3.29810 1.35140 1.94410 37 47 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.216907058393 -4.216907203152 -1.521159375706 7.251049684650 1.00
RbCdO3  4.23115262  0.484897266472  0.01497481  2.39300 3.29810 1.24890 1.89950 37 48 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -6.023736420579 -0.948499811712 1.046403819836 9.367805294123 1.00
RbSnO3  4.14122375  0.778219233094  0.06398825  2.39300 3.29810 1.07110 1.37380 37 50 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.693967270914 -3.693967397722 -1.084211366527 6.773509406815 1.00
RbSbO3  4.04033786  0.862949419715  0.31099205  2.39300 3.29810 1.00720 1.25160 37 51 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.963183376254 -4.963183546631 -1.964510398835 8.359173003941 1.00
RbTaO3  4.02269007  1.24255492014  3.48496897  2.39300 3.29810 1.47300 2.08400 37 73 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.410813983109 -3.410814100196 -0.207862642233 7.364063701622 1.00
RbWO3  3.95608647  1.34437352199  0.04674235  2.39300 3.29810 1.41610 2.11260 37 74 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.437043328913 -4.437043481229 -0.922676234942 8.672459941188 1.00
RbPtO3  4.01282056  0.732690731448  0.01203203  2.39300 3.29810 1.33610 1.80090 37 78 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -5.316148581053 -4.051110054601 -1.310324277513 10.114267892650 1.00
RbPbO3  4.31770814  0.537173534362  0.00631890  2.39300 3.29810 1.04520 1.42350 37 82 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -3.503690269109 -3.503690389384 -0.958997386626 6.476888103509 1.00
RbBiO3  4.26709938  0.555031764028  0.02852561  2.39300 3.29810 0.99410 1.31290 37 83 -2.224275864208 -2.224275940564 -0.611258460659 4.006416322987 -4.706546707306 -4.706546868874 -1.846753393810 7.964551439414 1.00
CsAlO3  3.92216111  0.701451238805  0.00704158  2.62700 3.23440 1.10410 1.43130 55 13 -2.072691900737 -0.442114316137 -0.581508210930 3.728552454429 -2.547095300306 -2.547095387743 -0.308077870308 5.449666311380 1.00
CsTiO3  4.03106275  0.863897654642  0.01343557  2.62700 3.23440 1.54120 2.08940 55 22 -2.072691900737 -0.442114316137 -0.581508210930 3.728552454429 -3.667603032050 -3.667603157952 -0.021725201808 7.552223574011 1.00
CsVO3  3.93960975  1.06292932437  0.34079706  2.62700 3.23440 1.45970 2.04700 55 23 -2.072691900737 -0.442114316137 -0.581508210930 3.728552454429 -4.798406943350 -4.798407108071 -0.664676976192 7.407416209273 1.00
CsCrO3  3.88896321  1.08162825807  0.00949643  2.62700 3.23440 1.42470 2.01210 55 24 -2.072691900737 -0.442114316137 -0.581508210930 3.728552454429 -4.733548486143 -4.733548648638 -1.259830231993 6.979022153017 1.00
